sku,slugname
4568,wella-professionals-enrich-shampoo-1000ml
6005,-3528-redken-time-reset-leave-in
4894,-acquaflora-hidratacao-intensiva-tratamento-ampola-de-tratamento-3x12ml
10690,-ada-tina-acqua-crema-kit-2-produtos=-10537-10533
1084,-alfaparf-cioccolato-crema-para-peinar-creme-para-pentear-250g
937,-alfaparf-cioccolato-kit-cioccolato-profissional-2-produtos
939,-alfaparf-cioccolato-kit-cioccolato-suave-2-produtos
1065,-alfaparf-cioccolato-lozione-locao-capilar-15ml
925,-alfaparf-cioccolato-lozione-tratamento-12x15ml
927,-alfaparf-cioccolato-mascara-nutritiva-250g
926,-alfaparf-cioccolato-mascara-nutritiva-500g
930,-alfaparf-cioccolato-shampoo-1000ml
931,-alfaparf-cioccolato-shampoo-250ml
933,-alfaparf-cioccolato-shampoo-doccia-shampoo-suave-e-gel-de-banho-250ml
499,-alfaparf-hair-anti-age-the-shampoo-250ml
644,-alfaparf-kit-nutri-seduction-2-produtos
951,-alfaparf-midollo-trattamento-ristrutturante-creme-reconstrutor-250g
491,-alfaparf-nutri-seduction-luxury-mask-mascara-150g
492,-alfaparf-nutri-seduction-precious-oil-tratamento-5x10ml
493,-alfaparf-nutri-seduction-rich-infusion-tratamento-5x10ml
486,-alfaparf-pearl-shampoo-250ml
17262,-alfaparf-semi-di-lino-diamante-meches-protection-shampoo-warm-tones-shampoo-1000ml
640,-alfaparf-splendore-di-fiori-di-lino-color-illuminating-crystals-finalizador-30ml
639,-alfaparf-splendore-di-fiori-di-lino-essential-serum-tratamento-6x15ml
943,-alfaparf-splendore-di-fiori-di-lino-hydrate-conditioner-condicionador-1000ml
637,-alfaparf-splendore-di-fiori-di-lino-hydrate-conditioner-condicionador-250ml
941,-alfaparf-splendore-di-fiori-di-lino-hydrate-shampoo-1000ml
641,-alfaparf-splendore-di-fiori-di-lino-hydrate-shampoo-250ml
1085,-alfaparf-splendore-di-fiori-di-lino-lock-in-tratamento-1000ml
638,-alfaparf-splendore-di-fiori-di-lino-volume-conditioner-condicionador-250ml
942,-alfaparf-splendore-di-fiori-di-lino-volume-shampoo-1000ml
635,-alfaparf-splendore-di-fiori-di-lino-volume-shampoo-250ml
944,-alfaparf-splendore-volume-conditioner-condicionador-1000ml
21733,-alfaparf-thermae-spa-fango-rimineralizz-6-x40gr
538,-alfaparf-yellow-ativador-de-cachos-finalizador-250ml
536,-alfaparf-yellow-detangling-conditioner-condicionador-250ml
560,-alfaparf-yellow-extra-fortyfing-serum-serum-6x13ml-
537,-alfaparf-yellow-hairdress-finalizador-200g
11014,-artdeco-esmalte-ceramic-11117-41g
11015,-artdeco-esmalte-ceramic-11121-41g
11012,-artdeco-esmalte-ceramic-1128-41g
11013,-artdeco-esmalte-ceramic-1193-41g
14320,-azzaro-chrome-edt-100ml-deo-150ml
17649,-azzaro-coffret-night-time-100ml-deo-150ml
19750,-azzaro-conjunto-azzaro-pour-homme-edt-100ml-deo-150ml
11612,-azzaro-pack-pour-homme-eau-de-toilette-2x
15468,-bain-de-terre-purite-color-moisture-repair-sh400mlcond400mlserum-125ml-
15467,-bain-de-terre-purite-color-protect-sh400mlcond400mlserum-125ml-
9508,-bourjois-1-second-gel-t02-rose-delicat
9509,-bourjois-1-second-gel-t03-beige-distincion
9510,-bourjois-1-second-gel-t04-taupe-classy
9511,-bourjois-1-second-gel-t05-coral-feerique
9512,-bourjois-1-second-gel-t06-rose-cupcake
9513,-bourjois-1-second-gel-t07-fuscia-bucolique
9514,-bourjois-1-second-gel-t08-blue-water
9515,-bourjois-1-second-gel-t09-lavanda-esquisse
9516,-bourjois-1-second-gel-t10-rouge-poppy
